Graduate_ID,Age,Gender,State_of_Origin,Region,Urban_or_Rural,Household_Income_Bracket,Field_of_Study,University_Type,GPA_or_Class_of_Degree,Has_Postgrad_Degree,Years_Since_Graduation,Employment_Status,Salary_Level,Net_Salary
G0001,27,Male,Edo,North,Urban,Low,Engineering,Private,Second Class Lower,No,6,Employed,Low-paid,160183
G0002,24,Female,Oyo,North,Urban,Low,Engineering,State,Second Class Upper,No,8,Employed,Well-paid,386218
G0003,33,Male,Kano,North,Urban,Low,Business,Federal,Third Class,No,3,Employed,Well-paid,340689
G0004,31,Female,Lagos,South,Urban,Low,Business,State,Second Class Upper,No,6,Employed,Well-paid,346470
G0005,28,Female,Enugu,East,Rural,Middle,Business,Federal,Second Class Upper,Yes,8,Employed,Low-paid,52693
G0006,33,Female,Plateau,East,Urban,Low,Engineering,Federal,Second Class Upper,No,4,Employed,Well-paid,230971
G0007,25,Male,Edo,South,Urban,Low,Health Sciences,State,Second Class Upper,Yes,1,Employed,Low-paid,176633
G0008,27,Female,Kaduna,South,Urban,Low,Health Sciences,State,Second Class Upper,No,4,Unemployed,Not employed,0
G0009,30,Male,Enugu,South,Urban,Low,Health Sciences,Federal,Second Class Upper,Yes,3,Unemployed,Not employed,0
G0010,23,Male,Enugu,East,Rural,Middle,Education,Federal,Second Class Upper,No,7,Employed,Low-paid,130078
G0011,27,Female,Oyo,East,Rural,Low,Engineering,Private,Second Class Upper,No,4,Unemployed,Not employed,0
G0012,31,Male,Rivers,North,Urban,Middle,Health Sciences,State,Second Class Lower,Yes,8,Employed,Low-paid,124227
G0013,31,Male,Enugu,East,Urban,Low,Health Sciences,State,Second Class Upper,No,8,Unemployed,Not employed,0
G0014,28,Female,Kano,West,Urban,Low,Health Sciences,Federal,Second Class Lower,No,2,Employed,Low-paid,128990
G0015,25,Male,Delta,East,Rural,Low,Engineering,Federal,Second Class Upper,Yes,9,Employed,Low-paid,136034
G0016,24,Male,Lagos,South,Urban,Low,Health Sciences,Federal,Third Class,No,5,Unemployed,Not employed,0
G0017,28,Female,Lagos,East,Urban,Middle,Health Sciences,Federal,Second Class Upper,Yes,5,Unemployed,Not employed,0
G0018,28,Female,Delta,North,Urban,Middle,Engineering,Federal,Second Class Lower,No,3,Employed,Well-paid,285567
G0019,23,Female,Borno,East,Urban,Middle,Education,Federal,Second Class Lower,Yes,10,Employed,Well-paid,240677
G0020,26,Male,Kano,South,Urban,Low,Business,State,Second Class Upper,No,9,Employed,Low-paid,118402
G0021,25,Male,Kaduna,West,Urban,Low,Health Sciences,Federal,Second Class Lower,Yes,2,Employed,Low-paid,148104
G0022,22,Male,Enugu,South,Urban,Low,Business,State,First Class,Yes,0,Employed,Well-paid,398675
G0023,28,Male,Borno,West,Urban,Middle,Education,Federal,Third Class,No,6,Employed,Low-paid,72291
G0024,32,Female,Kano,North,Rural,Low,Education,Federal,First Class,No,4,Unemployed,Not employed,0
G0025,34,Male,Oyo,North,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,9,Employed,Low-paid,78497
G0026,26,Male,Lagos,East,Urban,Low,Engineering,Federal,Second Class Upper,Yes,6,Employed,Low-paid,165135
G0027,22,Female,Borno,North,Rural,Low,Education,Federal,Second Class Upper,No,0,Employed,Low-paid,81969
G0028,32,Female,Plateau,North,Rural,High,Business,Private,Second Class Upper,No,7,Employed,Low-paid,197749
G0029,25,Female,Enugu,South,Urban,Middle,Business,State,Second Class Lower,No,2,Employed,Low-paid,80245
G0030,21,Male,Enugu,South,Urban,Middle,Business,Federal,Second Class Upper,Yes,6,Employed,Low-paid,103312
G0031,32,Male,Kaduna,East,Urban,Middle,Business,Federal,Third Class,No,2,Unemployed,Not employed,0
G0032,30,Male,Rivers,East,Rural,Middle,Education,State,Second Class Upper,No,2,Unemployed,Not employed,0
G0033,26,Male,Plateau,East,Rural,Low,Health Sciences,State,Second Class Upper,No,9,Employed,Low-paid,58267
G0034,33,Female,Enugu,East,Urban,Middle,Health Sciences,Federal,Second Class Upper,Yes,8,Employed,Well-paid,239812
G0035,32,Female,Edo,South,Urban,Low,Business,State,Second Class Lower,No,1,Employed,Low-paid,184847
G0036,29,Female,Plateau,East,Urban,Middle,Health Sciences,State,First Class,No,3,Unemployed,Not employed,0
G0037,21,Female,Enugu,East,Urban,Middle,Business,State,Second Class Upper,No,5,Unemployed,Not employed,0
G0038,31,Male,Delta,North,Urban,Middle,Business,State,First Class,Yes,2,Employed,Low-paid,175562
G0039,31,Female,Plateau,East,Urban,Middle,Engineering,State,Second Class Upper,No,9,Employed,Low-paid,126924
G0040,30,Male,Kano,West,Urban,Middle,Education,Private,Second Class Lower,Yes,9,Unemployed,Not employed,0
G0041,32,Female,Plateau,North,Urban,Low,Education,Federal,Second Class Upper,No,6,Employed,Well-paid,394150
G0042,32,Female,Kaduna,South,Urban,Low,Business,State,Second Class Upper,No,6,Employed,Well-paid,225875
G0043,34,Male,Oyo,West,Urban,Low,Education,State,Second Class Upper,No,4,Unemployed,Not employed,0
G0044,34,Male,Oyo,East,Urban,Middle,Health Sciences,State,Second Class Upper,Yes,2,Unemployed,Not employed,0
G0045,34,Female,Oyo,North,Urban,High,Business,Private,First Class,No,1,Employed,Well-paid,295803
G0046,23,Male,Kano,East,Rural,Low,Engineering,Federal,Second Class Upper,No,3,Employed,Well-paid,247589
G0047,32,Male,Borno,North,Urban,Low,Health Sciences,Federal,Second Class Upper,No,3,Employed,Low-paid,53534
G0048,27,Male,Oyo,East,Rural,Middle,Engineering,Federal,First Class,No,10,Employed,Low-paid,199155
G0049,24,Female,Lagos,West,Urban,High,Engineering,Federal,Second Class Upper,Yes,7,Employed,Well-paid,261807
G0050,29,Female,Kano,South,Rural,Middle,Education,Federal,Second Class Upper,No,7,Employed,Well-paid,251670
G0051,23,Female,Borno,West,Rural,Low,Education,State,Second Class Upper,Yes,4,Unemployed,Not employed,0
G0052,25,Male,Lagos,West,Urban,High,Business,Federal,Second Class Upper,No,5,Unemployed,Not employed,0
G0053,23,Female,Lagos,South,Urban,Middle,Education,State,Second Class Upper,No,7,Employed,Well-paid,275465
G0054,27,Male,Lagos,North,Urban,Low,Engineering,State,Second Class Upper,Yes,0,Employed,Low-paid,104720
G0055,25,Female,Edo,North,Rural,High,Engineering,Federal,Second Class Lower,No,4,Employed,Low-paid,147619
G0056,29,Female,Kaduna,South,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,3,Employed,Low-paid,53739
G0057,27,Male,Kaduna,East,Urban,Low,Engineering,State,Second Class Upper,No,3,Employed,Well-paid,351829
G0058,22,Male,Kano,North,Urban,Middle,Business,State,Second Class Upper,No,10,Employed,Low-paid,83107
G0059,24,Male,Lagos,West,Rural,Middle,Business,State,Second Class Upper,No,1,Unemployed,Not employed,0
G0060,29,Male,Delta,South,Urban,Middle,Education,State,Second Class Lower,No,9,Employed,Well-paid,333934
G0061,32,Male,Plateau,West,Urban,Low,Education,Private,Second Class Upper,No,0,Unemployed,Not employed,0
G0062,34,Female,Borno,North,Urban,High,Education,State,Second Class Upper,No,5,Unemployed,Not employed,0
G0063,22,Female,Kaduna,South,Urban,Low,Business,Private,Second Class Lower,No,6,Employed,Well-paid,282533
G0064,30,Male,Oyo,South,Urban,Middle,Engineering,State,Second Class Lower,Yes,4,Employed,Well-paid,217487
G0065,29,Male,Kano,North,Urban,Middle,Education,State,Third Class,Yes,7,Unemployed,Not employed,0
G0066,30,Male,Borno,North,Rural,Low,Health Sciences,Federal,Second Class Upper,No,8,Unemployed,Not employed,0
G0067,25,Female,Kano,South,Rural,Low,Education,Private,Second Class Lower,No,10,Employed,Low-paid,78353
G0068,22,Male,Delta,East,Rural,High,Business,Federal,First Class,No,10,Employed,Well-paid,208984
G0069,24,Female,Edo,South,Urban,Middle,Education,State,Second Class Upper,No,1,Employed,Low-paid,73130
G0070,32,Female,Edo,East,Rural,Middle,Engineering,Federal,Second Class Upper,No,10,Unemployed,Not employed,0
G0071,32,Female,Lagos,West,Urban,Middle,Education,Federal,First Class,No,3,Employed,Low-paid,123794
G0072,27,Female,Edo,East,Urban,Middle,Business,Federal,Second Class Upper,No,10,Employed,Well-paid,368351
G0073,32,Male,Kano,East,Rural,Middle,Business,Federal,Second Class Lower,No,8,Unemployed,Not employed,0
G0074,33,Female,Oyo,North,Rural,Low,Health Sciences,Federal,Second Class Upper,No,4,Employed,Well-paid,240080
G0075,28,Male,Lagos,South,Urban,Low,Business,State,Second Class Lower,No,2,Employed,Low-paid,62839
G0076,23,Male,Enugu,West,Rural,High,Health Sciences,Federal,Second Class Upper,Yes,5,Employed,Low-paid,148874
G0077,34,Female,Borno,South,Rural,Middle,Engineering,Federal,Second Class Upper,Yes,2,Unemployed,Not employed,0
G0078,21,Female,Delta,East,Urban,Low,Business,Federal,Second Class Upper,Yes,4,Employed,Low-paid,91499
G0079,24,Female,Lagos,East,Urban,High,Education,State,Second Class Upper,Yes,2,Employed,Well-paid,330094
G0080,22,Male,Kano,East,Rural,Middle,Engineering,Federal,Second Class Upper,Yes,5,Employed,Well-paid,336428
G0081,28,Male,Borno,South,Urban,Low,Education,Federal,Second Class Upper,No,9,Employed,Well-paid,282036
G0082,24,Female,Oyo,East,Urban,High,Education,Federal,First Class,No,4,Employed,Low-paid,125926
G0083,22,Male,Rivers,South,Rural,Middle,Education,State,First Class,No,8,Employed,Low-paid,79778
G0084,34,Female,Delta,West,Urban,Low,Engineering,Federal,Second Class Lower,No,2,Employed,Low-paid,155528
G0085,26,Female,Kano,West,Urban,Low,Engineering,Federal,Second Class Upper,No,5,Unemployed,Not employed,0
G0086,26,Female,Delta,South,Urban,Middle,Business,Federal,Second Class Upper,Yes,7,Unemployed,Not employed,0
G0087,30,Male,Kaduna,West,Urban,Middle,Education,Private,Second Class Upper,No,6,Employed,Low-paid,113192
G0088,24,Male,Rivers,North,Rural,Low,Health Sciences,Federal,Second Class Upper,No,5,Employed,Low-paid,135376
G0089,26,Male,Borno,East,Urban,Low,Business,State,Second Class Lower,No,1,Employed,Low-paid,178219
G0090,33,Female,Edo,East,Urban,Low,Engineering,Federal,Second Class Lower,No,6,Unemployed,Not employed,0
G0091,22,Male,Kano,East,Rural,Middle,Health Sciences,Federal,Second Class Lower,No,7,Employed,Low-paid,79980
G0092,30,Female,Delta,North,Rural,Low,Engineering,Federal,First Class,No,0,Employed,Low-paid,64065
G0093,32,Male,Borno,East,Urban,Low,Health Sciences,Federal,Second Class Lower,Yes,8,Employed,Well-paid,325361
G0094,22,Other,Edo,South,Rural,Middle,Business,Federal,Second Class Upper,No,3,Employed,Well-paid,210559
G0095,30,Male,Oyo,East,Urban,Middle,Health Sciences,Federal,Second Class Upper,Yes,7,Employed,Well-paid,324514
G0096,34,Male,Oyo,South,Urban,Middle,Business,Federal,Second Class Upper,No,9,Employed,Low-paid,123969
G0097,24,Male,Delta,West,Urban,Low,Engineering,State,Second Class Lower,No,6,Employed,Well-paid,339728
G0098,34,Female,Lagos,South,Urban,Middle,Health Sciences,Private,Second Class Upper,No,9,Unemployed,Not employed,0
G0099,28,Female,Kaduna,South,Urban,Low,Education,Federal,Second Class Upper,No,6,Employed,Well-paid,243210
G0100,34,Female,Lagos,South,Urban,High,Education,State,Second Class Lower,Yes,1,Employed,Low-paid,81477
G0101,27,Male,Kaduna,East,Urban,Middle,Engineering,Private,Second Class Upper,No,0,Employed,Well-paid,306111
G0102,32,Male,Kano,North,Urban,Low,Health Sciences,State,Second Class Upper,Yes,3,Employed,Well-paid,229529
